1stFlrSF,BsmtFinSF1,GarageArea,GarageYrBlt,GrLivArea,LotArea,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd
1314,922,294,1957.0,1314,8400,5,1314,1957,1957
799,0,380,1993.0,1571,7837,6,799,1993,1994
796,0,0,1979.0,796,8777,5,796,1910,1950
981,569,240,1939.0,1768,7200,5,731,1937,1950
1026,218,308,1924.0,1691,5000,5,1026,1924,1950
894,894,552,1975.0,894,9800,5,894,1972,1972
684,0,400,2005.0,1560,11911,6,684,2005,2005
796,735,240,1922.0,1154,5436,4,796,1922,2007
1422,588,576,1981.0,1422,12090,6,1422,1981,1981
1496,0,474,2007.0,1496,9158,8,1496,2007,2007
913,187,240,1990.0,913,8400,6,814,1966,1966
1086,516,484,1966.0,1086,13400,5,1024,1966,1966
1601,704,478,1978.0,1601,11880,7,1271,1978,1978
1186,454,486,1965.0,1986,13600,7,768,1965,1990
1164,0,528,1969.0,1164,9600,7,1164,1969,1969
1010,0,390,2002.0,2267,8068,6,1010,2002,2002
2259,35,450,1953.0,2259,21000,6,1809,1953,1953
825,180,720,1963.0,825,8235,5,825,1955,1995
698,535,440,1977.0,1426,7950,6,690,1977,1977
1651,1398,616,1986.0,1651,12416,6,1606,1986,1986
789,0,200,1926.0,789,10594,5,768,1926,1950
1338,500,968,1969.0,2634,11643,5,1248,1969,1969
1042,0,225,1928.0,1576,6240,5,1042,1928,1950
783,0,393,2005.0,1484,10237,6,783,2005,2007
1200,833,555,2003.0,1200,10083,7,1176,2003,2003
625,0,528,2006.0,1250,4251,7,625,2006,2007
1902,1406,567,1959.0,1902,17500,7,1902,1959,2002
1040,0,400,1949.0,1040,8544,3,0,1949,1950
1502,0,644,2009.0,1502,9541,7,1502,2009,2009
1228,0,271,1966.0,1228,8544,5,1228,1966,2006
1036,375,288,1949.0,1268,12144,5,832,1949,1950
864,468,0,1979.0,864,5604,5,864,1925,1950
1686,625,612,1980.0,1686,10240,6,1686,1980,1980
1620,1116,490,1993.0,1620,9991,4,1281,1976,1993
858,685,576,1983.0,858,7252,5,858,1982,1982
1301,0,572,2006.0,1301,7200,7,1293,2006,2006
1505,1024,505,1953.0,1505,12160,6,1505,1953,1953
864,0,280,1972.0,864,9353,4,864,1970,1970
1224,1086,528,1979.0,1224,7018,5,1086,1979,1979
1383,1064,354,1954.0,1383,13284,5,1383,1954,1954
816,641,264,1982.0,816,6600,5,816,1982,2008
1344,1309,784,1997.0,1344,7060,7,1344,1997,1998
703,0,540,2007.0,1392,3604,7,689,2007,2007
1065,0,461,1974.0,1065,8892,5,1065,1960,1960
661,0,552,1985.0,1250,5362,5,661,1910,2003
736,0,0,1979.0,1452,4456,4,736,1920,2008
572,0,0,1979.0,1096,9600,6,572,1924,1950
1428,0,480,2007.0,1428,11639,7,1428,2007,2008
773,219,431,1995.0,1658,8000,6,773,1995,1996
864,398,720,1980.0,864,7200,5,864,1950,2002
948,0,0,1979.0,1928,7082,5,686,1916,1995
1537,0,462,1962.0,1537,8400,6,1319,1962,2005
879,0,660,2006.0,1863,14054,7,879,2006,2006
1026,765,812,2008.0,2007,11003,10,1017,2008,2008
1792,1567,874,2003.0,1792,11846,9,1792,2003,2004
968,0,480,1935.0,968,8520,5,968,1923,2006
1512,619,619,1968.0,2654,11029,6,1054,1968,1984
960,648,364,1965.0,960,10246,4,648,1965,2001
1521,0,880,1988.0,2775,13500,10,1237,1893,2000
2069,0,694,2006.0,2643,13693,9,2153,2006,2006
1646,1373,482,2004.0,1646,3842,8,1594,2004,2005
1298,1258,403,1985.0,1298,11200,6,1298,1985,1985
1694,0,776,2008.0,1694,10475,8,1694,2008,2008
958,498,301,1960.0,958,12772,6,958,1960,1998
999,784,300,1962.0,999,10205,5,925,1962,1962
780,0,0,1979.0,1020,6342,5,780,1875,1996
814,533,663,2000.0,1674,7500,7,814,2000,2000
2113,1696,839,1995.0,2113,10437,8,2109,1995,1995
1118,156,551,1976.0,2030,12046,6,848,1976,1976
626,0,288,1980.0,1217,10762,6,626,1980,1980
1284,0,647,2002.0,2169,9375,8,1284,2002,2002
979,595,467,1994.0,1850,29959,7,973,1994,1994
1144,25,336,1962.0,1144,9204,5,1144,1963,1963
1504,16,437,2005.0,1504,3182,7,1346,2005,2006
1309,663,484,1974.0,1309,10140,6,1040,1974,1999
698,204,280,1939.0,1258,9060,6,560,1939,1950
1422,0,286,1960.0,1422,12342,5,978,1960,1978
1442,608,301,1958.0,1442,9750,6,1442,1958,1958
768,352,240,1946.0,1200,11767,5,768,1946,1995
953,0,460,2000.0,1664,8121,6,953,2000,2000
1360,384,572,1962.0,1360,7134,5,384,1955,1955
707,0,403,2004.0,1414,9056,8,707,2004,2004
1342,251,457,1967.0,1342,9790,6,1372,1967,1967
793,507,410,1939.0,1118,7800,5,793,1939,1950
1170,503,360,1932.0,2345,16560,6,952,1932,1950
1844,705,546,1977.0,1844,11751,6,1844,1977,1977
483,387,264,1971.0,987,1680,6,483,1971,1971
1610,1200,480,1977.0,1610,10603,6,1610,1977,2001
1080,336,484,1983.0,1080,9187,6,1084,1983,1983
1622,1159,1356,1975.0,1622,32463,4,1249,1961,1975
802,714,413,1997.0,1511,11207,6,802,1997,1997
1152,1014,484,1964.0,1152,14112,5,1152,1964,1964
910,420,282,1950.0,1558,13710,5,910,1950,1950
1065,380,471,1993.0,1911,9554,8,777,1993,1994
1306,860,756,1968.0,1306,8712,5,992,1957,2000
1075,0,360,1910.0,2138,8100,5,849,1898,1965
1580,0,610,2004.0,2466,11143,8,1580,2004,2005
1085,600,440,1962.0,1734,9786,6,912,1962,1981
950,0,208,1929.0,1158,6000,6,862,1929,1950
1771,0,336,1960.0,1771,21750,5,0,1960,2006
958,120,440,1977.0,958,4928,6,1078,1976,1976
1828,48,774,2007.0,1828,11694,9,1822,2007,2007
1148,292,281,1949.0,1716,11409,5,768,1949,2008
1476,1330,858,2008.0,2713,14948,9,1452,2008,2008
959,425,560,1978.0,1367,6240,6,884,1931,1950
916,299,164,1915.0,1826,2500,7,910,1915,2005
1200,334,521,1995.0,1200,11249,6,1200,1995,1995
854,360,660,1991.0,1382,12358,5,720,1941,1950
728,0,400,2005.0,1456,8029,6,728,2005,2005
1686,1361,711,1994.0,2448,46589,8,1629,1994,2005
1024,0,0,1979.0,1964,8525,5,940,1911,1950
1092,787,504,1964.0,1092,8250,6,1092,1964,1964
1113,607,264,1950.0,1113,9600,5,1113,1950,2007
864,432,0,1979.0,864,10500,4,864,1971,1971
1028,0,442,1999.0,1804,7500,7,994,1999,1999
1632,0,576,1967.0,1632,25000,5,1632,1967,1967
1548,956,624,1974.0,2614,10800,6,1522,1974,1997
1314,904,626,2008.0,1314,5001,7,1314,2007,2008
1061,674,564,1992.0,1923,10186,7,750,1992,1992
1484,712,606,2004.0,1484,8400,7,1473,2004,2005
708,280,0,1979.0,708,5330,4,420,1940,1950
1713,1088,856,2004.0,1713,9591,8,1713,2004,2005
1269,374,308,1964.0,1269,7931,5,1269,1960,1960
2097,1721,1134,2005.0,2097,20896,8,2077,2005,2006
864,360,288,1972.0,864,9560,5,864,1972,1972
1130,936,836,2008.0,2184,11308,9,1104,2008,2008
1624,1456,757,1994.0,1624,12461,8,1624,1994,1995
1040,906,384,1965.0,1040,11200,5,1040,1965,1965
884,0,434,2001.0,2035,9505,7,884,2001,2001
1494,437,481,1995.0,1494,9549,8,1494,1995,1996
1314,904,626,2008.0,1314,5063,7,1314,2007,2008
1041,384,539,1968.0,1743,11700,6,702,1968,1968
912,48,833,1991.0,2127,13125,7,1104,1991,1991
936,210,0,1979.0,1716,5687,5,780,1912,2000
1358,733,484,2010.0,1358,6371,7,1358,2009,2010
774,0,400,2000.0,1430,9967,7,384,2000,2000
1221,410,400,2004.0,1221,7500,7,1221,2004,2005
912,0,615,2003.0,2094,9375,7,912,2003,2004
864,553,360,1965.0,864,8281,5,864,1965,1965
1053,567,750,1998.0,1053,8973,5,1008,1958,1991
1701,1390,611,1975.0,1701,16647,5,1390,1975,1981
1056,846,308,1958.0,1056,8176,5,1056,1958,1992
1163,256,220,1955.0,1163,5820,3,1162,1955,2005
822,0,562,2007.0,1665,8125,7,813,2007,2007
684,0,528,2005.0,1196,12354,6,684,1920,2000
1966,0,820,2009.0,3140,13518,9,1926,2008,2009
1682,0,530,1970.0,1682,10400,7,1304,1970,1970
1072,547,525,2005.0,1072,3675,5,547,2005,2005
764,24,614,2009.0,1547,8640,7,756,2009,2009
1905,0,788,2006.0,1905,11670,9,1905,2006,2006
827,385,550,1996.0,1661,10667,7,799,1996,1996
1350,624,520,1964.0,1350,9020,6,1248,1964,1964
1055,0,462,1992.0,1845,11218,6,1055,1992,1992
1021,0,300,1958.0,1601,13825,5,533,1958,1987
691,592,409,1995.0,1498,13031,6,691,1995,1996
991,222,678,2004.0,1947,12552,7,991,2004,2005
1098,902,260,1955.0,1098,7390,5,1098,1955,1955
1054,602,460,1969.0,1054,9750,6,1054,1969,1969
928,308,288,1957.0,928,6000,5,928,1957,1957
1133,329,240,1925.0,1820,9120,7,1026,1925,1950
1687,523,672,1970.0,3082,15863,7,824,1920,1970
1104,0,304,1957.0,1788,11250,4,1104,1957,1989
1022,247,280,1956.0,1022,7200,5,1022,1910,2006
1274,925,508,2005.0,1274,8814,7,1274,2005,2007
1134,0,656,2005.0,2504,11198,9,1122,2005,2007
1476,904,736,2000.0,2153,11050,9,1440,2000,2000
1128,804,577,2002.0,2031,9473,8,1128,2002,2002
1060,0,520,1940.0,1824,13515,6,764,1919,1950
1008,486,275,1954.0,1008,11425,5,1008,1954,1954
694,365,352,1990.0,694,4280,5,440,1913,2002
1728,936,574,1976.0,1728,12640,6,1728,1976,1976
1588,1162,472,1999.0,1588,10264,7,1588,1999,1999
1392,1302,528,1957.0,1392,11341,5,1392,1957,1996
2411,2096,813,1996.0,4476,15623,10,2396,1996,1996
1161,0,534,1977.0,1969,11952,7,808,1977,1977
1504,16,457,2005.0,1504,3182,7,1346,2005,2006
1276,0,350,1958.0,1276,9571,5,1276,1958,1958
1800,0,702,2007.0,1800,11923,9,1800,2007,2007
816,816,0,1979.0,816,11841,6,816,1990,1990
1040,0,625,1950.0,1040,7200,5,0,1950,1950
924,0,280,1981.0,924,7990,5,924,1975,1975
832,0,528,1962.0,832,7227,6,832,1954,1954
956,0,431,1998.0,1886,11214,7,930,1998,1999
2196,485,701,1990.0,2196,14684,7,2158,1990,1991
1039,841,504,1965.0,1039,11625,5,1039,1965,1965
720,0,312,1948.0,1271,21286,5,720,1948,1950
961,241,384,1978.0,1367,8405,5,861,1900,1950
1236,0,542,1986.0,2093,20544,7,791,1986,1991
864,460,338,1972.0,864,15523,5,864,1972,1972
1699,0,336,1969.0,2447,9638,6,804,1919,1990
1054,763,480,1963.0,1054,8800,6,936,1963,1963
1120,206,0,1979.0,1120,8402,5,1120,2007,2007
1616,0,834,2005.0,1616,8688,7,1616,2005,2005
1073,836,515,1965.0,1073,10289,5,1073,1965,1965
1389,1071,418,1975.0,1389,10010,5,1389,1974,1975
861,262,539,1961.0,861,12342,4,861,1940,1950
575,350,576,1971.0,1135,7200,7,560,1936,2007
1466,1150,1052,2006.0,2828,9965,8,1466,2006,2007
1616,1180,608,1995.0,1616,5389,8,1595,1995,1996
1437,1157,528,1976.0,1437,10768,5,1437,1976,2004
1630,0,451,2000.0,1630,9750,7,1630,2000,2001
1800,1274,765,2002.0,1800,14331,8,1800,2002,2002
1094,0,512,1976.0,1855,9600,6,528,1976,1994
892,0,502,1999.0,1675,24682,6,841,1999,1999
956,656,618,2004.0,2084,10142,7,956,2004,2004
616,236,200,1941.0,1111,9084,5,616,1941,1950
729,0,0,1979.0,729,4130,3,270,1935,2003
1586,0,435,1979.0,1586,17043,6,1362,1979,1998
2234,1904,1166,2009.0,2234,17423,9,2216,2008,2009
858,614,0,1979.0,858,8125,4,858,1971,1971
833,625,0,1979.0,833,8780,5,833,1985,1985
1283,504,506,1980.0,1283,7763,5,931,1962,1980
1644,1285,418,1953.0,1644,9600,6,1416,1953,1953
1383,565,292,1960.0,1383,11600,6,1383,1960,1960
2073,790,500,1978.0,2073,13175,6,1542,1978,1988
958,0,686,1983.0,1539,10440,5,650,1904,2002
1552,24,782,2005.0,1552,10084,7,1552,2005,2006
925,338,429,1965.0,925,9100,5,925,1965,1965
1414,24,494,2004.0,1414,8773,7,1414,2004,2004
1013,0,0,1979.0,1526,8470,3,1013,1915,1982
1712,528,588,2005.0,1712,8393,5,1626,1959,2005
1717,0,908,2006.0,1717,11146,8,1709,2006,2006
1089,0,240,1937.0,1750,9000,5,636,1880,1991
786,0,624,1999.0,1176,6000,6,698,1937,2000
1454,0,504,2000.0,1936,11194,8,1406,2000,2000
858,322,684,1979.0,858,7340,4,858,1971,1971
1079,0,685,2006.0,1919,15611,8,1079,2006,2006
998,0,576,1989.0,1762,7200,7,596,1920,1950
1728,231,576,1987.0,1728,13101,5,1728,1965,1965
764,573,474,2003.0,1626,2448,7,764,2003,2004
664,554,426,2006.0,1496,17104,7,654,2006,2006
790,384,160,1925.0,790,6292,6,768,1930,1950
1142,0,550,1976.0,1935,12384,7,793,1976,1976
1098,403,483,1976.0,1964,10480,7,803,1976,1976
833,0,228,1925.0,1666,5100,8,588,1925,1996
985,595,328,1977.0,985,8385,5,985,1977,1977
1358,720,484,2004.0,1358,8198,7,1358,2004,2004
848,662,420,2004.0,848,4426,6,848,2004,2004
1120,0,753,2006.0,1970,11065,8,1085,2006,2006
2046,0,834,2008.0,2046,11844,8,2046,2008,2008
992,735,839,2000.0,1865,10316,7,992,2000,2000
1445,0,441,1930.0,2134,11888,6,844,1916,1994
1372,987,656,1993.0,2646,9900,7,1347,1993,1993
1236,600,923,1957.0,1236,7407,6,912,1957,1996
902,301,484,1983.0,902,8885,5,864,1983,1983
912,737,352,1962.0,912,12968,5,912,1962,1962
1656,639,528,1960.0,1656,31770,6,1080,1960,1960
1382,672,884,1991.0,1382,19296,6,1362,1962,1962
2020,0,630,1977.0,2020,8400,5,0,1977,1977
1052,504,440,1971.0,1052,8816,6,1010,1971,1971
1328,56,752,1995.0,2531,12257,8,1318,1995,1995
1004,668,660,1999.0,1852,9066,8,1004,1999,2000
1660,1220,500,2006.0,1660,10182,8,1660,2006,2006
1709,1238,506,1999.0,1709,5119,9,1698,1999,2000
912,832,288,1962.0,912,6768,6,912,1961,1996
928,821,470,1997.0,1764,15426,6,928,1997,1997
735,593,497,1972.0,1395,12936,6,723,1972,1972
1040,824,308,1963.0,1040,7500,5,1040,1963,1963
2392,56,968,2003.0,2392,13472,10,2392,2003,2003
1103,397,440,1976.0,1103,6000,6,1103,1925,1980
1050,789,836,2008.0,2078,10800,8,1034,2007,2008
803,116,360,1941.0,803,5000,5,720,1941,1950
1152,0,300,1950.0,1152,14000,6,1092,1950,2004
1173,885,528,1974.0,1173,10625,7,1053,1974,1974
372,0,0,1979.0,1092,5600,4,0,1930,1950
892,0,180,1914.0,1784,13132,5,747,1914,1950
1222,0,487,1968.0,1920,10192,7,570,1968,1992
1670,0,690,2006.0,1670,14859,7,1670,2006,2006
520,0,480,2005.0,1223,2544,7,600,2005,2005
1801,1247,484,1959.0,1801,15602,7,1501,1959,1997
1656,0,506,1973.0,1656,9246,5,1656,1973,1973
961,216,642,1998.0,1717,9550,7,756,1915,1970
1422,0,779,1999.0,2599,14774,9,1393,1999,1999
888,386,312,1942.0,1644,9480,5,728,1942,1995
1136,970,872,2004.0,2468,12099,8,1136,2004,2004
796,732,480,1993.0,1362,14115,5,796,1993,1995
1484,428,472,2006.0,1484,9037,8,1476,2006,2006
1200,661,884,1977.0,1200,9230,5,864,1965,1998
1350,0,478,1974.0,1350,10140,6,1064,1974,1974
1152,0,0,1979.0,1152,6040,4,0,1955,1955
1680,144,583,1998.0,1680,10140,7,1650,1998,1999
889,0,352,1940.0,1440,5000,5,540,1900,1950
1214,695,318,1967.0,1214,10355,5,1214,1967,1967
725,533,475,1976.0,1479,13517,6,725,1976,2005
901,0,800,2005.0,1801,10463,8,893,2005,2005
753,547,213,1942.0,1494,7500,6,771,1942,1950
1532,1085,514,1990.0,2329,11839,7,1475,1990,1990
1588,0,825,2006.0,1588,10000,8,1588,2006,2006
1194,655,539,1954.0,1194,8910,6,655,1959,1959
1494,1200,576,1997.0,1494,9236,6,1479,1997,1997
2053,816,666,1996.0,3238,14720,8,2033,1995,1996
914,298,576,1998.0,914,8846,5,870,1996,1996
832,16,546,1925.0,1641,9600,7,728,1925,1990
1128,0,360,1930.0,1573,6240,5,1078,1930,1992
1472,1036,588,1980.0,1472,14115,7,1372,1980,1980
983,660,423,1989.0,1750,12508,6,983,1940,1985
866,20,578,2007.0,1768,10769,8,866,2007,2007
1196,616,297,1956.0,1196,9000,6,1196,1956,1956
1126,0,520,2002.0,1126,8777,4,0,1949,2003
845,0,290,1957.0,845,11500,4,0,1957,1957
1168,562,530,1969.0,1968,11075,5,784,1969,1969
949,392,392,1965.0,1221,9738,5,784,1924,1950
684,0,216,1930.0,1368,3600,6,684,1910,1993
483,321,280,1987.0,987,1869,6,483,1970,1970
1442,738,719,1990.0,1442,10357,7,910,1990,1991
1220,836,396,1951.0,1220,8877,4,836,1951,1951
1500,20,570,2004.0,1500,8487,7,1500,2004,2004
1310,781,1069,1998.0,2450,16545,8,1284,1998,1998
2207,912,576,1970.0,2207,19900,7,1947,1970,1989
1208,686,632,2006.0,1208,6762,7,1187,2006,2006
1050,0,352,1954.0,1795,12150,5,1050,1954,1954
1440,1440,0,1979.0,1440,7711,4,1440,1977,1977
1212,36,460,2009.0,1212,10420,6,1212,2009,2009
572,0,288,1982.0,1111,5700,7,572,1926,1950
1175,575,831,1994.0,2715,8963,8,1142,1976,1996
880,0,527,1998.0,1724,8924,7,880,1998,1999
1328,569,528,1963.0,1328,9790,6,1328,1963,1963
1052,1016,288,1968.0,1052,8400,5,1052,1968,1968
1301,0,462,1991.0,2417,16059,8,1288,1991,1992
948,732,280,1956.0,948,8190,4,948,1954,1954
1136,0,532,1997.0,2019,11414,7,728,1910,1993
869,0,0,1979.0,869,5900,4,440,1923,1958
1554,24,627,2006.0,1554,4590,8,1554,2006,2006
1092,500,576,1969.0,2112,11075,6,952,1969,1969
1416,0,576,2007.0,1416,25339,5,816,1918,2007
864,759,398,2004.0,1593,7415,6,839,2004,2004
1381,982,676,1972.0,1381,9360,6,1161,1972,2006
1632,620,338,1958.0,1632,9600,6,1240,1958,1988
954,0,240,1938.0,954,6305,5,920,1938,1950
495,0,672,2003.0,1922,7301,7,0,2003,2003
980,560,484,1986.0,980,7064,5,980,1977,1977
920,486,608,2001.0,1786,11250,7,920,2001,2002
1694,1369,636,2004.0,1694,10084,8,1686,2004,2005
972,680,240,1948.0,972,8000,6,972,1948,2002
1437,988,576,1999.0,1437,14175,5,1188,1956,1987
1055,0,905,2001.0,2263,9240,8,1055,2001,2002
1040,315,550,1979.0,1725,11584,7,539,1979,1979
1236,360,447,1957.0,1236,10011,5,1070,1957,1996
1040,369,286,1959.0,1040,7560,5,1040,1959,1959
1704,1218,772,2008.0,1704,11478,8,1704,2007,2008
1523,644,478,1976.0,1523,11361,6,1193,1976,1976
1489,0,776,2006.0,1489,11216,8,1489,2006,2006
1569,988,660,2007.0,1569,3635,7,1386,2007,2007
1212,0,573,2001.0,1212,9100,7,1212,2001,2001
1573,788,544,2002.0,1573,9808,7,1573,2002,2002
1012,247,484,1972.0,1790,10400,6,732,1972,1972
1072,1309,528,1923.0,1576,21384,5,1324,1923,2004
864,503,673,2003.0,1728,8791,6,864,2003,2003
1600,0,890,2007.0,1600,14230,8,1566,2007,2007
1922,1249,676,2005.0,1922,14157,9,1922,2005,2006
846,0,650,2009.0,1692,13159,7,846,2009,2009
1656,24,826,2006.0,1656,11096,8,1656,2006,2006
1047,0,273,1954.0,1047,10800,4,641,1885,1995
1848,1410,706,2006.0,2728,20431,9,1848,2005,2006
1425,490,576,1964.0,1425,10175,6,1425,1964,1964
952,0,192,1916.0,952,8854,6,952,1916,1950
990,716,576,1996.0,990,13568,5,990,1995,1995
988,938,540,1969.0,988,21453,6,938,1969,1969
1056,1056,384,1966.0,1056,8900,4,1056,1966,1966
1746,1320,758,2006.0,1746,14892,9,1746,2006,2007
885,0,427,1998.0,1718,10141,7,832,1998,1998
1464,444,480,1997.0,1464,12886,5,520,1963,1999
831,0,493,2002.0,1660,8935,7,831,2002,2002
1752,456,576,2005.0,1752,7658,9,1752,2005,2005
1361,498,600,1977.0,2620,18890,5,1361,1977,1977
3138,2260,884,2007.0,4676,40094,10,3138,2007,2008
784,784,0,1979.0,784,6130,5,784,1924,1950
1120,932,544,1961.0,1120,6970,4,1040,1961,1961
1382,547,459,1974.0,1382,11235,4,1051,1963,1979
672,438,440,1978.0,1386,11616,6,672,1978,1978
334,0,0,1979.0,334,5000,1,0,1946,1950
600,0,480,2004.0,1200,3182,7,600,2004,2005
1414,0,398,2004.0,1414,3072,7,1375,2004,2004
1584,0,792,1967.0,1584,8944,5,1584,1967,1967
792,0,400,1931.0,1517,11435,8,792,1929,1950
1258,656,528,1971.0,1258,11040,6,1258,1971,2004
902,599,288,1967.0,902,6173,5,876,1967,1967
1158,941,576,2006.0,1158,13072,6,1158,2004,2004
964,713,432,1921.0,964,13360,5,876,1921,2006
1465,187,596,1965.0,2380,18450,6,1021,1965,1979
1232,724,632,2007.0,1232,7314,7,1232,2007,2007
864,390,352,1989.0,864,7180,5,864,1972,1972
1175,421,575,1989.0,1982,11287,7,807,1989,1989
1086,956,592,1998.0,1924,12011,8,1086,1998,1998
1276,0,282,1926.0,2080,10918,7,1276,1926,2004
953,0,460,1999.0,1647,7917,6,953,1999,2000
1617,165,533,1993.0,1617,8012,6,1604,1993,1994
